cog_id	sample_date	lineage	plot_category
TFCI-27046D0	2020-04-01	B.1.1	B.1.1
TFCI-2707F69	2020-04-02	B.1	B.1
TFCI-2707F78	2020-04-02	B.40	B.2 - B.40
TFCI-2707F87	2020-04-02	B.40	B.2 - B.40
TFCI-27045E2	2020-04-02	B.1.1	B.1.1
TFCI-27045D3	2020-04-03	B.1	B.1
TFCI-270462B	2020-04-03	B.1.1	B.1.1
TFCI-2707EF3	2020-04-03	B.1.1	B.1.1
TFCI-2707EA8	2020-04-03	B.1.1	B.1.1
TFCI-2707EB7	2020-04-03	B.1.1	B.1.1
TFCI-2704694	2020-04-03	B.1.1	B.1.1
TFCI-2704597	2020-04-03	B.40	B.2 - B.40
TFCI-2707ED5	2020-04-03	B.1.1	B.1.1
TFCI-27046FE	2020-04-03	B.1.1	B.1.1
TFCI-2707EC6	2020-04-03	B.3	B.2 - B.40
TFCI-2707D14	2020-04-04	B.1.1	B.1.1
TFCI-2707B0B	2020-04-04	B.1.1	B.1.1
TFCI-2707D32	2020-04-04	B.1.1	B.1.1
TFCI-2707D23	2020-04-04	B.1.1	B.1.1
TFCI-27049AA	2020-04-04	B.1.1	B.1.1
TFCI-2704746	2020-04-04	B.1	B.1
TFCI-2707B29	2020-04-04	B.1.1	B.1.1
TFCI-2707B1A	2020-04-04	B.1.1	B.1.1
TFCI-2707AFF	2020-04-04	B.1	B.1
TFCI-27045A6	2020-04-04	B.1	B.1
TFCI-27048E9	2020-04-04	B.1	B.1
TFCI-27046A3	2020-04-04	B.1	B.1
TFCI-2707B38	2020-04-04	B.1.1	B.1.1
TFCI-27045F1	2020-04-04	B.1	B.1
TFCI-2704588	2020-04-04	B.1.1	B.1.1
TFCI-27046B2	2020-04-04	B.1.1	B.1.1
TFCI-2704940	2020-04-05	B.40	B.2 - B.40
TFCI-2704579	2020-04-05	B.1.1	B.1.1
TFCI-2704649	2020-04-05	B.1.1	B.1.1
TFCI-27045C4	2020-04-05	B.1.1	B.1.1
TFCI-2707CCC	2020-04-05	B.1	B.1
TFCI-2707FE1	2020-04-05	B.1	B.1
TFCI-27047EC	2020-04-06	B.1.1	B.1.1
TFCI-2704719	2020-04-06	B.1	B.1
TFCI-2704AC5	2020-04-06	B.1.1	B.1.1
TFCI-2707CDB	2020-04-06	B.1.1	B.1.1
TFCI-2707B56	2020-04-06	B.1.1	B.1.1
TFCI-2704737	2020-04-06	B.1.1	B.1.1
TFCI-2707B47	2020-04-06	B.1	B.1
TFCI-2704807	2020-04-06	B.1.1	B.1.1
TFCI-2707B65	2020-04-06	B.1.1	B.1.1
TFCI-2704773	2020-04-06	B.1.1.8	B.1.1.1 - B.1.1.409
TFCI-2707FF0	2020-04-06	B.1.1	B.1.1
TFCI-270800B	2020-04-06	B.31	B.2 - B.40
TFCI-270801A	2020-04-06	B.1.1	B.1.1
TFCI-270463A	2020-04-06	B.1.1	B.1.1
TFCI-270499B	2020-04-06	B.1.1	B.1.1
TFCI-2707B74	2020-04-06	B.1.1	B.1.1
TFCI-2707F3C	2020-04-06	B.1.1	B.1.1
TFCI-2707F2D	2020-04-06	B.1.1	B.1.1
TFCI-2707F1E	2020-04-06	B.1.1	B.1.1
TFCI-2707F0F	2020-04-06	B.1.1	B.1.1
TFCI-2704A6B	2020-04-07	B.1.1	B.1.1
TFCI-2707CEA	2020-04-07	B.40	B.2 - B.40
TFCI-27048AD	2020-04-07	B.1	B.1
TFCI-2707C26	2020-04-07	B.1.1	B.1.1
TFCI-2707C17	2020-04-07	B.1.1	B.1.1
TFCI-27048BC	2020-04-07	B.1.1	B.1.1
TFCI-2704AB6	2020-04-07	B.1.1	B.1.1
TFCI-27049D7	2020-04-08	B.1.1	B.1.1
TFCI-270496E	2020-04-08	B.1	B.1
TFCI-27049C8	2020-04-08	B.1	B.1
TFCI-2707C53	2020-04-08	B.3	B.2 - B.40
TFCI-2707C62	2020-04-08	B.1	B.1
TFCI-27047DD	2020-04-08	B.1	B.1
TFCI-2707C35	2020-04-08	B.1.1.1	B.1.1.1 - B.1.1.409
TFCI-2707C44	2020-04-08	B.1.1	B.1.1
TFCI-2707C71	2020-04-08	B.1.1	B.1.1
TFCI-2707C9F	2020-04-08	B.1.1	B.1.1
TFCI-2707C80	2020-04-08	B.1.1	B.1.1
TFCI-2707CF9	2020-04-08	B.40	B.2 - B.40
TFCI-2704755	2020-04-08	B.1.1	B.1.1
TFCI-2707FA5	2020-04-08	B.1.1.192	B.1.1.1 - B.1.1.409
TFCI-2707F96	2020-04-08	B.1.1.192	B.1.1.1 - B.1.1.409
TFCI-2707D9C	2020-04-08	B.1.1	B.1.1
TFCI-2704728	2020-04-08	B.1.1	B.1.1
TFCI-2704843	2020-04-08	B.1.1	B.1.1
TFCI-2704922	2020-04-09	B.1.1	B.1.1
TFCI-2707DAB	2020-04-09	B.1.1	B.1.1
TFCI-2707FB4	2020-04-09	B.1.1	B.1.1
TFCI-2707DC9	2020-04-09	B.40	B.2 - B.40
TFCI-2704676	2020-04-09	B.1.1.198	B.1.1.1 - B.1.1.409
TFCI-2707DBA	2020-04-09	B.1.1	B.1.1
TFCI-27047BF	2020-04-09	B.31	B.2 - B.40
TFCI-2707D05	2020-04-09	B.1.1	B.1.1
TFCI-2704A2F	2020-04-09	B.1.1	B.1.1
TFCI-270470A	2020-04-09	B.1	B.1
TFCI-2707CAE	2020-04-09	B.40	B.2 - B.40
TFCI-27048CB	2020-04-09	B.1.1	B.1.1
TFCI-27047FB	2020-04-09	B.1.1	B.1.1
TFCI-2707CBD	2020-04-09	B.1	B.1
TFCI-270498C	2020-04-09	B.1.1	B.1.1
TFCI-2707D6F	2020-04-10	B.1.1	B.1.1
TFCI-2707D50	2020-04-10	B.1.1	B.1.1
TFCI-2704861	2020-04-10	B.1	B.1
TFCI-27049B9	2020-04-10	B.1	B.1
TFCI-2707B92	2020-04-10	B.1	B.1
TFCI-2704A7A	2020-04-10	B.40	B.2 - B.40
TFCI-2707B83	2020-04-10	B.1.1	B.1.1
TFCI-2707BB0	2020-04-10	B.1.1	B.1.1
TFCI-2707BA1	2020-04-10	B.1	B.1
TFCI-2707DF6	2020-04-10	B.1.1	B.1.1
TFCI-270461C	2020-04-10	B.1.1	B.1.1
TFCI-2704667	2020-04-10	B.1.1	B.1.1
TFCI-2704AD4	2020-04-10	B.1.1	B.1.1
TFCI-2707DD8	2020-04-10	B.1	B.1
TFCI-2707DE7	2020-04-10	B.1.1	B.1.1
TFCI-27045B5	2020-04-10	B.40	B.2 - B.40
TFCI-2707BCF	2020-04-10	B.1.1	B.1.1
TFCI-2704782	2020-04-10	B.1.1	B.1.1
