date	incidence	trust_short	tests	positive_tests	rolling_mean_key	rolling_7day_incidence
2021-04-29	0	UCLH	1050	0	7day_incidence	4.64658073922359e-20
2021-04-29	0	RMH	209	0	7day_incidence	0.000381970970206264
2021-04-29	0	LNWUH	19	0	7day_incidence	0
2021-04-29	0	CNWL	278	0	7day_incidence	0
2021-04-29	0	RFH	49	0	7day_incidence	0
2021-04-29	0	CARE HOME	9	0	7day_incidence	0
2021-04-28	0	UCLH	556	0	7day_incidence	4.64658073922359e-20
2021-04-28	0	RMH	253	0	7day_incidence	0.000381970970206264
2021-04-28	0	LNWUH	15	0	7day_incidence	0
2021-04-28	0	CNWL	361	0	7day_incidence	0
2021-04-28	0	RFH	64	0	7day_incidence	0
2021-04-27	0	UCLH	990	0	7day_incidence	4.64658073922359e-20
2021-04-27	0	RMH	382	0	7day_incidence	0.000682722849905512
2021-04-27	0	LNWUH	7	0	7day_incidence	0
2021-04-27	0	CNWL	238	0	7day_incidence	0
2021-04-27	0	RFH	33	0	7day_incidence	0
2021-04-27	0	CARE HOME	75	0	7day_incidence	0
2021-04-26	0	UCLH	138	0	7day_incidence	4.64658073922359e-20
2021-04-26	0	RMH	80	0	7day_incidence	0.000300751879699248
2021-04-26	0	LNWUH	26	0	7day_incidence	0
2021-04-26	0	CNWL	48	0	7day_incidence	0
2021-04-26	0	RFH	17	0	7day_incidence	0.00210084033613445
2021-04-24	0	UCLH	748	0	7day_incidence	4.64658073922359e-20
2021-04-24	0	RMH	276	0	7day_incidence	0.000300751879699248
2021-04-24	0	LNWUH	16	0	7day_incidence	0
2021-04-24	0	CNWL	290	0	7day_incidence	0
2021-04-24	0	RFH	30	0	7day_incidence	0.00210084033613445
2021-04-23	0	UCLH	920	0	7day_incidence	4.64658073922359e-20
2021-04-23	0.00210526315789474	RMH	475	1	7day_incidence	0.000300751879699248
2021-04-23	0	LNWUH	33	0	7day_incidence	0
2021-04-23	0	CNWL	603	0	7day_incidence	0
2021-04-23	0	RFH	28	0	7day_incidence	0.00210084033613445
2021-04-23	0	CARE HOME	55	0	7day_incidence	0
2021-04-22	0	UCLH	649	0	7day_incidence	0.000680272108843537
2021-04-22	0	RMH	243	0	7day_incidence	0.000300751879699248
2021-04-22	0	LNWUH	25	0	7day_incidence	0
2021-04-22	0	CNWL	284	0	7day_incidence	0
2021-04-22	0.0147058823529412	RFH	68	1	7day_incidence	0.00210084033613445
2021-04-21	0	UCLH	1112	0	7day_incidence	0.000680272108843537
2021-04-21	0	RMH	447	0	7day_incidence	0.000300751879699248
2021-04-21	0	LNWUH	19	0	7day_incidence	0
2021-04-21	0	CNWL	172	0	7day_incidence	0
2021-04-21	0	RFH	17	0	7day_incidence	0.00210084033613445
2021-04-21	0	CARE HOME	82	0	7day_incidence	0
2021-04-20	0	UCLH	697	0	7day_incidence	0.000680272108843537
2021-04-20	0	RMH	99	0	7day_incidence	0.000300751879699248
2021-04-20	0	LNWUH	2	0	7day_incidence	0
2021-04-20	0	CNWL	147	0	7day_incidence	0
2021-04-20	0	RFH	44	0	7day_incidence	0.00210084033613445
2021-04-19	0.00476190476190476	UCLH	210	1	7day_incidence	0.000680272108843537
2021-04-19	0	RMH	64	0	7day_incidence	0.000462320850670365
2021-04-19	0	LNWUH	10	0	7day_incidence	0
2021-04-19	0	CNWL	77	0	7day_incidence	0
2021-04-19	0	RFH	2	0	7day_incidence	0.00210084033613445
2021-04-17	0	UCLH	595	0	7day_incidence	0.000680272108843537
2021-04-17	0	RMH	299	0	7day_incidence	0.000839252626019027
2021-04-17	0	LNWUH	14	0	7day_incidence	0
2021-04-17	0	CNWL	318	0	7day_incidence	0
2021-04-17	0	RFH	28	0	7day_incidence	0
2021-04-16	0	UCLH	608	0	7day_incidence	0.000819238201117023
2021-04-16	0	RMH	232	0	7day_incidence	0.000839252626019027
2021-04-16	0	LNWUH	33	0	7day_incidence	0
2021-04-16	0	CNWL	313	0	7day_incidence	0
2021-04-16	0	RFH	40	0	7day_incidence	0
2021-04-15	0	UCLH	527	0	7day_incidence	0.000819238201117023
2021-04-15	0.00323624595469256	RMH	309	1	7day_incidence	0.000839252626019027
2021-04-15	0	LNWUH	34	0	7day_incidence	0
2021-04-15	0	CNWL	212	0	7day_incidence	0
2021-04-15	0	RFH	57	0	7day_incidence	0
2021-04-15	0	CARE HOME	157	0	7day_incidence	0
2021-04-14	0	UCLH	1065	0	7day_incidence	0.000444216397523791
2021-04-14	0.00263852242744063	RMH	379	1	7day_incidence	0.00198210976887617
2021-04-14	0	LNWUH	12	0	7day_incidence	0
2021-04-14	0	CNWL	452	0	7day_incidence	0
2021-04-14	0	RFH	68	0	7day_incidence	0
2021-04-13	0.000972762645914397	UCLH	1028	1	7day_incidence	0.000444216397523791
2021-04-13	0	RMH	279	0	7day_incidence	0.00198210976887617
2021-04-13	0	LNWUH	14	0	7day_incidence	0
2021-04-13	0	CNWL	241	0	7day_incidence	0
2021-04-13	0	RFH	38	0	7day_incidence	0
2021-04-13	0	CARE HOME	76	0	7day_incidence	0
2021-04-12	0	UCLH	149	0	7day_incidence	0.000583047440144921
2021-04-12	0	RMH	49	0	7day_incidence	0.00256520014788492
2021-04-12	0	LNWUH	9	0	7day_incidence	0
2021-04-12	0	CNWL	40	0	7day_incidence	0
2021-04-12	0	RFH	20	0	7day_incidence	0
2021-04-10	0.00213675213675214	UCLH	468	1	7day_incidence	0.000583047440144921
2021-04-10	0.008	RMH	125	1	7day_incidence	0.00210287929721455
2021-04-10	0	LNWUH	12	0	7day_incidence	0
2021-04-10	0	CNWL	168	0	7day_incidence	0
2021-04-10	0	RFH	24	0	7day_incidence	0.00255102040816327
2021-04-09	0	UCLH	875	0	7day_incidence	0.000583047440144921
2021-04-09	0	RMH	361	0	7day_incidence	0.00512730806608358
2021-04-09	0	LNWUH	31	0	7day_incidence	0
2021-04-09	0	CNWL	499	0	7day_incidence	0
2021-04-09	0	RFH	42	0	7day_incidence	0.00255102040816327
2021-04-09	0	CARE HOME	43	0	7day_incidence	0
2021-04-08	0.000971817298347911	UCLH	1029	1	7day_incidence	0.000444081347871435
2021-04-08	0.00408163265306122	RMH	490	2	7day_incidence	0.00512730806608358
2021-04-08	0	LNWUH	27	0	7day_incidence	0
2021-04-08	0	CNWL	302	0	7day_incidence	0
